,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
59,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-11T01:30:00Z,5,2020-06-11T07:00:00+05:30,o3,13.9,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
60,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-10T09:45:00Z,4,2020-06-10T15:15:00+05:30,o3,32.26,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
61,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-10T03:45:00Z,4,2020-06-10T09:15:00+05:30,o3,17.97,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
62,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T22:45:00Z,4,2020-06-10T04:15:00+05:30,o3,18.56,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
63,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T20:00:00Z,4,2020-06-10T01:30:00+05:30,o3,18.37,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
64,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T12:45:00Z,3,2020-06-09T18:15:00+05:30,o3,38.63,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
65,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T10:45:00Z,3,2020-06-09T16:15:00+05:30,o3,37.75,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
66,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T09:30:00Z,3,2020-06-09T15:00:00+05:30,o3,37.69,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
67,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T09:15:00Z,3,2020-06-09T14:45:00+05:30,o3,27.05,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
68,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-09T08:45:00Z,3,2020-06-09T14:15:00+05:30,o3,25.38,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
